#ZVView-data-copy:  27-Nov-2023 14:53:58
#=======================================
#
"#name:   ENDF/B-VIII.0: TM-171(N,G)TM-172"
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  20131
#data...
#            X            Y
#          MeV        barns
    2.02617e-5      12.0433 
    2.04041e-5      12.7588 
    2.05475e-5       13.558 
     2.0692e-5      14.4547 
    2.08374e-5      15.4658 
     2.0947e-5      16.3102 
    2.10576e-5      17.2446 
    2.11683e-5      18.2727 
    2.12799e-5      19.4186 
    2.13921e-5      20.6952 
    2.15043e-5      22.1165 
    2.16181e-5       23.729 
    2.17318e-5      25.5427 
    2.18077e-5      26.8806 
    2.18846e-5      28.3569 
    2.19615e-5      29.9671 
    2.20384e-5      31.7261 
    2.21154e-5      33.6553 
    2.21934e-5      35.8137 
    2.22714e-5       38.204 
    2.23494e-5      40.8585 
    2.24274e-5      43.8169 
    2.24867e-5      46.3001 
     2.2546e-5      49.0122 
    2.26053e-5      51.9823 
    2.26647e-5      55.2445 
     2.2724e-5      58.8385 
    2.27839e-5      62.8506 
     2.2844e-5      67.3276 
    2.29042e-5      72.3208 
    2.29644e-5      77.9132 
    2.30045e-5      82.0229 
    2.30446e-5      86.4775 
    2.30988e-5       93.117 
      2.315e-5      100.142 
    2.32013e-5      108.016 
    2.32354e-5       113.81 
    2.32696e-5      120.099 
    2.33038e-5       126.94 
    2.33379e-5      134.399 
    2.33801e-5      144.575 
    2.34223e-5      155.976 
    2.34504e-5      164.358 
    2.34785e-5      173.449 
    2.35066e-5      183.333 
    2.35347e-5      194.107 
    2.35628e-5      205.883 
     2.3598e-5      222.213 
    2.36214e-5      234.229 
    2.36448e-5      247.268 
    2.36683e-5      261.452 
    2.36917e-5      276.918 
    2.37151e-5      293.827 
    2.37385e-5      312.366 
    2.37596e-5      330.625 
    2.37784e-5      348.261 
    2.37971e-5      367.375 
    2.38159e-5       388.14 
    2.38346e-5      410.752 
    2.38534e-5       435.44 
    2.38721e-5      462.469 
    2.38908e-5      492.147 
    2.39078e-5      521.635 
    2.39231e-5      550.433 
    2.39383e-5      581.735 
    2.39535e-5      615.847 
    2.39687e-5       653.12 
     2.3984e-5      693.965 
    2.39992e-5      738.862 
    2.40144e-5      788.374 
    2.40268e-5      832.621 
    2.40413e-5      888.922 
    2.40557e-5      951.287 
    2.40701e-5      1020.62 
    2.40845e-5      1098.01 
    2.40989e-5      1184.75 
    2.41111e-5       1266.5 
    2.41233e-5      1357.12 
    2.41354e-5      1457.88 
    2.41446e-5      1540.97 
    2.41523e-5      1616.89 
    2.41617e-5      1716.52 
    2.41711e-5      1825.35 
    2.41804e-5      1944.37 
    2.41898e-5      2074.71 
    2.41992e-5      2217.55 
    2.42085e-5      2374.19 
    2.42179e-5         2546 
    2.42273e-5      2734.42 
    2.42367e-5      2940.97 
     2.4246e-5      3167.15 
    2.42554e-5      3414.47 
    2.42648e-5      3684.37 
    2.42741e-5      3978.18 
    2.42835e-5      4297.05 
    2.42929e-5      4641.87 
    2.43023e-5      5013.17 
    2.43116e-5      5411.09 
     2.4321e-5      5835.22 
    2.43351e-5       6518.2 
    2.43491e-5      7251.46 
    2.43679e-5      8289.06 
    2.44053e-5      10421.1 
    2.44194e-5      11172.8 
    2.44335e-5      11858.6 
    2.44475e-5      12452.5 
